Montaña Rusa,Parque Central,50,5,true,Verano,Alto,true,john_doe;emily_smith;
Bumper Cars,Plaza del Sol,40,4,false,null,Medio,true,anna_lee;paul_white;
Rueda de la Fortuna,Zona de Aventura,60,6,true,Invierno,Medio,true,mary_jones;tom_brown;
Tirolesa,Parque Natural,20,3,true,Primavera,Alto,true,sarah_wilson;james_doe;
Carros Chocones,Plaza Mayor,30,4,false,null,Bajo,true,daniel_black;luis_fernandez;
Atrapados en el Aire,Parque de Atracciones,45,4,true,Verano,Alto,true,karen_martin;roberto_garcia;
Carrera de Motos,Zona Extrema,35,4,false,null,Medio,true,marcos_perez;jose_luis;
Spinning Coaster,Parque del Río,55,5,true,Otoño,Alto,true,sofia_morales;luis_martinez;
Tornado,Aventura Total,50,5,true,Invierno,Alto,false,julia_gonzalez;carolina_rodriguez;
Barco Pirata,Zona Retro,40,3,false,null,Bajo,true,fernando_sanchez;elena_garcia;
Superman Ride,Parque del Sol,60,7,true,Verano,Alto,true,clara_rios;carla_hernandez;
Laberinto en 3D,Parque Acuático,30,4,false,null,Medio,true,juan_perez;lorena_torres;
Montaña Rusa Voladora,Parque Aéreo,50,6,true,Primavera,Alto,true,diana_vasquez;pablo_escobar;
Rápidos del Río,Zona Acuática,45,5,false,null,Medio,true,paola_juarez;francisco_castro;
La Torre del Terror,Parque Fantasía,30,4,true,Otoño,Alto,false,marta_dominguez;javier_ramos;